,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,constant_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes
864,0,degree,Piecewise Linear Fit,1.0986122330748676,0.0323897586313017,-0.0203212308476462,1.0,0.2851674641148325,,1.0000237705256323,0.3334883105582187,0.9993949884804364,0.3332786240806148,0.9992583725902814,0.3332330653611663,,,,,,,0.0647795172643587,3.691053778252693,5.763572646447184,glioma_mibitof:CHOP_907_R5C7_whole_cell.tiff,3114,1045
865,1,closeness,Exponential Saturation Fit,1.098581783567132,0.0213962466541979,0.0765735614077277,1.0,0.3703349282296651,,1.3275868553594383,0.3297268507959565,1.3519074032885228,0.3357672372655243,1.3468288999139213,0.3345059119385191,-0.0151072779934023,32.395731481297844,0.1061991490910936,,,,,,,glioma_mibitof:CHOP_907_R5C7_whole_cell.tiff,3114,1045
866,2,betweenness,Michaelis-Menten Fit,1.0985084916348256,3.699605594400831e-05,0.9052460654437664,1.0,0.0220095693779904,,1.7892638524576112,0.3265892128942521,1.841338086020377,0.3360941737908664,1.848035388827019,0.3373166133148815,,,,-0.1306637656278231,3.700161880466104e-05,0.1374918487523969,,,,glioma_mibitof:CHOP_907_R5C7_whole_cell.tiff,3114,1045
867,3,harmonic,Michaelis-Menten Fit,1.0984153959852887,0.0030987912589437,0.1008862423302188,1.0,0.2679425837320574,,1.2335735249243491,0.3251226912890211,1.2655875664859615,0.3335603653645801,1.2950174078927454,0.3413169433463987,,,,-0.0262826003981803,0.0031383110369068,0.1424912786145171,,,,glioma_mibitof:CHOP_907_R5C7_whole_cell.tiff,3114,1045
868,4,clustering,Piecewise Linear Fit,1.0986115067335522,0.0321843800486971,0.0474876341852311,1.0,0.2813397129186603,,1.006096852569137,0.3338951889653248,1.0040234890664392,0.3332070980556282,1.0030912463685289,0.3328977129790469,,,,,,,0.0643687600875446,-0.6535043677959624,0.4639402085981771,glioma_mibitof:CHOP_907_R5C7_whole_cell.tiff,3114,1045
869,5,pagerank,Constant Fit,1.098612288367643,0.0,-0.0,1.0,0.0,0.000956937799043,0.9982372613528664,0.3333400587458924,0.9982314220777372,0.3333381088444111,0.9981826798303296,0.3333218324096963,,,,,,,,,,glioma_mibitof:CHOP_907_R5C7_whole_cell.tiff,3114,1045
870,0,degree,Piecewise Linear Fit,1.098612075417284,0.0586471531754965,-0.0295560670750799,1.0,0.487750556792873,,1.000726144740061,0.333633781024692,0.9995490235797738,0.3332413386112555,0.999199709992916,0.3331248803640524,,,,,,,0.1172943063549751,2.9457453998916137,5.672388260511448,glioma_mibitof:CHOP_907_R4C6_whole_cell.tiff,1327,449
871,1,closeness,Piecewise Linear Fit,1.0984351782882782,0.0053974468698672,0.0413487133781726,1.0,0.1224944320712694,,1.063304877644666,0.3422249175579854,1.0218648952095164,0.3288874497529965,1.021865463598181,0.328887632689018,,,,,,,0.0107948937386868,-1.030427673436477,0.1400683697265274,glioma_mibitof:CHOP_907_R4C6_whole_cell.tiff,1327,449
872,2,betweenness,Piecewise Linear Fit,1.0986096775025262,9.188347357559814e-05,0.8073877270938468,1.0,0.042316258351893,,1.4748368299005523,0.3342151403340485,1.471364303723936,0.3334282256056513,1.4666355452478408,0.3323566340603001,,,,,,,0.0001837669471511,-517.7082503855682,0.1064857946752775,glioma_mibitof:CHOP_907_R4C6_whole_cell.tiff,1327,449
873,3,harmonic,Piecewise Linear Fit,1.0983319301045276,0.0007081046923208,0.0533762547523279,1.0,0.0556792873051225,,1.0678537561474029,0.3445265286175618,1.0158138296244283,0.3277366497308142,1.0158143624898748,0.327736821651624,,,,,,,0.0014162093846309,-13.200724761487288,0.1844720928956187,glioma_mibitof:CHOP_907_R4C6_whole_cell.tiff,1327,449
