,Unnamed: 0,measure,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,Piecewise Linear Fit_scaled_relative_likelihood_over_Constant Fit,Piecewise Linear Fit_AIC_weight,Exponential Saturation Fit_scaled_relative_likelihood_over_Constant Fit,Exponential Saturation Fit_AIC_weight,Michaelis-Menten Fit_scaled_relative_likelihood_over_Constant Fit,Michaelis-Menten Fit_AIC_weight,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,dataset,num_edges,num_nodes
3875,5,pagerank,Piecewise Linear Fit,1.0986108096038991,0.0065208241627778,-0.1129316367858604,1.0,0.0801317233809001,,,,1.0200233245471328,0.3339289925190685,1.018748745856901,0.333511728749042,1.0158393811274946,0.3325592787318893,0.0130416485522058,0.0057540880208692,0.0002947273181625,,,,,glioma_mibitof:UCSF_TA8_R2C5_whole_cell.tiff,9821,2733
3876,0,degree,Piecewise Linear Fit,1.098607475185193,0.0079332491242573,-0.2147186152075869,1.0,0.0936300844205679,,,,1.0417761665272565,0.3343786394434914,1.039650066389332,0.3336962256061604,1.034132130084982,0.3319251349503481,0.0158664982485214,232.3323562825408,6.74087687172613,,,,,glioma_mibitof:UCSF_TA7_R4C4_whole_cell.tiff,19952,3909
3877,1,closeness,Piecewise Linear Fit,1.0986122886679797,0.235402360040342,-0.1984538782477263,1.0,0.9971859810693272,,,,1.0127962952309135,0.3333335390737976,1.0127950450744934,0.3333331276198201,1.0127956700298717,0.3333333333063822,0.4708047211983533,0.0421237988759213,0.0400504380274741,,,,,glioma_mibitof:UCSF_TA7_R4C4_whole_cell.tiff,19952,3909
3878,2,betweenness,Michaelis-Menten Fit,1.098612214164965,0.207572407313144,-0.9465182924438824,1.0,1.0,,,,1.1630503984803442,0.3331513762335533,1.1640000497125749,0.333423400227847,1.1640064149940916,0.3334252235385996,,,,,0.0468988558038545,1.2399081820921924,0.0003800102560658,glioma_mibitof:UCSF_TA7_R4C4_whole_cell.tiff,19952,3909
3879,3,harmonic,Exponential Saturation Fit,1.098473307705791,0.1169958725766508,-0.2036640404704283,1.0,1.0,0.0281057675971701,5.351235745188734,0.0511354382406896,2.058881044906257,0.3254921734392361,2.134383611955022,0.3374285088140965,2.132174824990395,0.3370793177466673,,,,,,,,glioma_mibitof:UCSF_TA7_R4C4_whole_cell.tiff,19952,3909
3880,4,clustering,Piecewise Linear Fit,1.0986108638441288,0.0110015138822498,0.1283646177113457,1.0,0.1143514965464313,,,,1.0770456838373268,0.333905856250086,1.0758190923306277,0.3335255881765404,1.0727320909641094,0.3325685555733735,0.0220030277641853,-7.000267538941796,0.6769727962181472,,,,,glioma_mibitof:UCSF_TA7_R4C4_whole_cell.tiff,19952,3909
3881,5,pagerank,Piecewise Linear Fit,1.098598252582949,0.0062899017924598,-0.1320368221831139,1.0,0.0798158096699923,,,,1.0452050992515334,0.3350799733660715,1.0418513212324814,0.3340047931453623,1.0322141487232266,0.330915233488566,0.0125798038468743,0.0048022848117034,0.000198562812471,,,,,glioma_mibitof:UCSF_TA7_R4C4_whole_cell.tiff,19952,3909
3882,0,degree,Michaelis-Menten Fit,1.0984773364666598,0.0154203343942483,-0.3535348212500053,1.0,0.8348600828209312,,,,1.1140839713144652,0.3263594207770999,1.139861506432059,0.3339106840989421,1.1597263833620075,0.3397298951239579,,,,,13.240033543612077,0.0164420241107084,11.717039614584394,glioma_mibitof:CHOP_907_R99C1_whole_cell.tiff,90750,7969
3883,1,closeness,Piecewise Linear Fit,1.0986071289836403,0.1964325098011493,-0.2573057695778193,0.9998745137407454,0.9470381526104418,,,,3.2202233228947144,0.3348464102706983,3.199014333673999,0.3326410495879359,3.197778456255683,0.3325125401413657,0.3928650201521702,0.0714466643108044,0.0405094035365719,,,,,glioma_mibitof:CHOP_907_R99C1_whole_cell.tiff,90750,7969
3884,2,betweenness,Exponential Saturation Fit,1.0986118499293078,0.1665010337638573,-1.0005526626146126,1.0,1.0,0.0064223242820618,2.86512185125846,-1.345890246700053e-06,1.1876643933080644,0.3328920203782077,1.1900692594549245,0.3335660834846527,1.1899829658532417,0.3335418961371396,,,,,,,,glioma_mibitof:CHOP_907_R99C1_whole_cell.tiff,90750,7969
3885,3,harmonic,Exponential Saturation Fit,1.0985244193355217,0.1516153327108462,-0.2524604795146039,1.0,1.0,0.0457162078601642,3.5045348748606164,0.0557958670310879,2.482482500120911,0.3271032204077509,2.555655758795245,0.3367448628197069,2.5511557169314947,0.3361519167725421,,,,,,,,glioma_mibitof:CHOP_907_R99C1_whole_cell.tiff,90750,7969
