,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,constant_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c
clustering,Piecewise Linear Fit,0.9999994505525531,0.014908054053161836,0.11153885977159703,1.0,0.12996515679442508,1.0565921486036576,0.02981610810571649,-4.910730262742632,0.7295675152919561,,glioma_mibitof:CHOP_1101_R2C2_whole_cell.tiff,25666,2870,,,,,,
degree,Piecewise Linear Fit,0.9999994989328097,0.030756658906388585,-0.2578977274960809,1.0,0.260233918128655,1.0108227964574907,0.06151331781334685,10.79719678624182,0.9555786088272276,,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,257,342,,,,,,
pagerank,Exponential Saturation Fit,0.9999991605478135,0.006008850660469337,-0.16176741105181086,1.0,0.16374269005847952,1.0046863653445193,,,,,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,257,342,0.0008370963346255908,115.35434981924864,0.002168797185518327,,,
betweenness,Piecewise Linear Fit,0.9999921991034924,0.13150139092501117,-1.2809310697818992,1.0,0.783625730994152,1.0230404581463162,0.26300279267079746,0.002430535495464163,-7.009816593637103e-05,,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,257,342,,,,,,
closeness,Constant Fit,,0,0,0.7894736842105263,0.0,,,,,0.6058710151102792,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,257,342,,,,,,
clustering,Constant Fit,,0,0,1.0,0.0,,,,,0.19296853244221665,glioma_mibitof:Brainiaqc_R6C1_whole_cell.tiff,257,342,,,,,,
degree,Michaelis-Menten Fit,0.9999864089467831,0.005694789760712768,-0.32736544852795213,1.0,0.3727454909819639,1.0252203521092067,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,7093,1497,,,,4.971786871912325,0.0058298676671951636,5.047873998137926
pagerank,Exponential Saturation Fit,0.9999996537935445,0.0030689821095602385,-0.1378638447801407,1.0,0.09552438209752839,1.0187551029133812,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,7093,1497,0.00016375367683900383,225.85552640660939,0.000512019492100536,,,
betweenness,Piecewise Linear Fit,0.9999999981463141,0.2317844076740314,-1.0032422343301115,1.0,0.9926519706078825,1.0790288047012504,0.46356881626172936,0.05073719836587275,-3.800579882175363e-05,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,7093,1497,,,,,,
closeness,Michaelis-Menten Fit,0.9999993757196498,0.028352926512698506,0.3542333392867037,0.9926519706078825,1.0,1.0100831291332109,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,7093,1497,,,,-0.08454190548110295,0.03205015168425877,0.1517102488138213
clustering,Exponential Saturation Fit,0.999999441203296,0.0037649588180204076,0.06189048124197779,1.0,0.10688042752171009,1.002035737164339,,,,,glioma_mibitof:CHOP_1101_R5C2_whole_cell.tiff,7093,1497,-0.0836166520441949,184.10485087864333,0.7173294268444003,,,
degree,Piecewise Linear Fit,0.9999959609691706,0.013118011192443763,-0.288310691428403,1.0,0.13621721122871605,1.0525897164873455,0.02623602238489737,266.5758335060488,8.632139832898433,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,16354,2173,,,,,,
pagerank,Piecewise Linear Fit,0.999993378714396,0.007206523877892467,-0.1518961709365111,1.0,0.0892774965485504,1.0378144020817432,0.014413047924350763,0.008550397000004886,0.00034404420693215734,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,16354,2173,,,,,,
betweenness,Michaelis-Menten Fit,0.9999999770308411,0.04506049422785149,0.34289475315780393,1.0,1.0,1.0021546750757997,,,,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,16354,2173,,,,-0.0034771440802059033,0.05499773608683576,0.006132632513656332
closeness,Piecewise Linear Fit,0.9999999072788816,0.04679376329082658,0.07829941905180639,1.0,0.4164749194661758,1.0001923274929827,0.09358752651964297,-0.15092250620436415,0.09725743535580925,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,16354,2173,,,,,,
clustering,Piecewise Linear Fit,0.9999999606636262,0.015075771334344705,0.06448515725521929,1.0,0.15416474919466175,1.0152659960131858,0.03015154266770573,-3.0652710240537084,0.7628308852354051,,glioma_mibitof:CHOP_1101_R98C2_whole_cell.tiff,16354,2173,,,,,,
degree,Piecewise Linear Fit,0.9999991279311545,0.10992615122632655,0.06923385042802668,1.0,0.6666666666666666,1.004038085980256,0.21985230244467519,-2.755870755612995,4.678580245326121,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,1771,822,,,,,,
pagerank,Piecewise Linear Fit,0.9999977453143674,0.00926407842560742,-0.12494251789293868,1.0,0.12773722627737227,1.01900718138127,0.0185281569758695,0.01486358962888677,0.0009643889785698644,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,1771,822,,,,,,
betweenness,Piecewise Linear Fit,0.999996070639014,0.1168785693156581,-1.0949682512368941,1.0,0.6982968369829684,1.0394459190103842,0.23375713877620083,0.16134018767367048,-0.001635514399647896,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,1771,822,,,,,,
closeness,Michaelis-Menten Fit,0.9999999803027066,0.2455694294872628,0.2884092785648326,0.9890510948905109,1.0,1.0006348810595493,,,,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,1771,822,,,,-2907.278601951089,23834.784748196533,0.1338103971912398
clustering,Piecewise Linear Fit,0.9999999377035981,0.05267796106995331,0.10156870199353565,1.0,0.39172749391727496,1.0061300264420399,0.10535592212915104,-0.9795602574854896,0.5596439322095741,,glioma_mibitof:CHOP_907_R10C14_whole_cell.tiff,1771,822,,,,,,
degree,Piecewise Linear Fit,0.9999999729621213,0.12794117634111427,0.04449148991644371,1.0,0.7836304700162074,1.0021949396688123,0.2558823526690394,-1.9400806243315338,5.827175178511318,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,3432,1234,,,,,,
pagerank,Piecewise Linear Fit,0.9999891551037852,0.009577930197154874,-0.12515448672471205,1.0,0.11588330632090761,1.0299202132743774,0.019155860594178828,0.00958420467977356,0.0006416713717504525,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,3432,1234,,,,,,
betweenness,Piecewise Linear Fit,0.9999917129491168,0.12745097986204942,-0.9144584419421605,1.0,0.7811993517017828,1.1062342604821622,0.2549019599677084,0.10463544482522283,0.0012474845321296046,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,3432,1234,,,,,,
closeness,Piecewise Linear Fit,0.9999999226157006,0.06064249550811872,0.06630362798877486,0.9991896272285251,0.47607461476074614,1.0001419647598762,0.12128499082081218,-0.06206212202465599,0.06052673936632549,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,3432,1234,,,,,,
clustering,Piecewise Linear Fit,0.9999998536524752,0.014996844996971804,0.13512238607952318,1.0,0.15964343598055106,1.020078798910817,0.029993689993338696,-4.958371358853206,0.6246753026788935,,glioma_mibitof:CHOP_907_R10C13_whole_cell.tiff,3432,1234,,,,,,
