,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
degree,Piecewise Linear Fit,0.9999362817791013,0.01273261508719848,-0.08266406539107941,1.0,0.15965166908563136,1.1282215867283567,0.025465230174410887,182.71836185963275,25.81733735751613,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,20670,1378,,,,,,,
pagerank,Piecewise Linear Fit,0.9999385121968584,0.011694949977003056,-0.06463916307495009,1.0,0.14586357039187228,1.1197455297489365,0.023389900567577362,0.0038120921668936933,0.0006451269667421333,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,20670,1378,,,,,,,
betweenness,Piecewise Linear Fit,0.9999922485475952,0.1651960779688795,-0.8470646164661951,1.0,0.8925979680696662,1.1784257667741205,0.33039215686098666,0.035786643473140645,0.001067362930023103,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,20670,1378,,,,,,,
closeness,Piecewise Linear Fit,0.9999719470498252,0.1912701522777963,-0.21471279592356243,1.0,0.9470246734397678,3.0918957903640454,0.3825403048702223,0.12158432150085276,0.08505412339950953,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,20670,1378,,,,,,,
clustering,Exponential Saturation Fit,0.9999813512220316,0.022395044149683897,0.1604489339998087,1.0,0.3875181422351234,1.563217149096847,,,,glioma_mibitof:CHOP_907_R10C12_whole_cell.tiff,20670,1378,-0.20640309212240127,30.95090710916549,0.7464062938708959,,,,
degree,Piecewise Linear Fit,0.999977144455171,0.019614197624535052,-0.09568271228784629,1.0,0.21798029556650247,1.1286338149460842,0.039228395249098734,137.03770315718498,25.4037583755764,glioma_mibitof:CHOP_907_R12C14_whole_cell.tiff,12180,812,,,,,,,
pagerank,Piecewise Linear Fit,0.9999785281450124,0.019330471709439846,-0.07156074498100187,1.0,0.21674876847290642,1.1188893910041777,0.03866094431009249,0.004338015145904195,0.0010879580433979608,glioma_mibitof:CHOP_907_R12C14_whole_cell.tiff,12180,812,,,,,,,
betweenness,Piecewise Linear Fit,0.9999941560389958,0.16978968917377119,-0.7163557475095763,1.0,0.9076354679802956,1.0978814567910276,0.3395793792124364,0.0392625436005083,0.002639580892993896,glioma_mibitof:CHOP_907_R12C14_whole_cell.tiff,12180,812,,,,,,,
closeness,Piecewise Linear Fit,0.9999960315210891,0.18780182356770958,-0.18937908637967674,1.0,0.9495073891625616,2.016972096303605,0.37560364740375635,0.13997459045438942,0.11252131465704694,glioma_mibitof:CHOP_907_R12C14_whole_cell.tiff,12180,812,,,,,,,
clustering,Piecewise Linear Fit,0.9999665382532805,0.028354172107852196,0.11025138155456746,1.0,0.2733990147783251,1.2285873245284649,0.05670834421352756,-2.605090633693907,0.7438358237821204,glioma_mibitof:CHOP_907_R12C14_whole_cell.tiff,12180,812,,,,,,,
degree,Piecewise Linear Fit,0.9999381911841096,0.01815244584978725,-0.09101721154187614,1.0,0.17560553633217993,1.145922723785386,0.036304891699600335,140.4236703415123,25.45702236220595,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,17340,1156,,,,,,,
pagerank,Piecewise Linear Fit,0.9999379694719555,0.014922399106176324,-0.0703091283494366,1.0,0.15311418685121106,1.1295294295603213,0.029844798986112187,0.0038571154095120375,0.000761076163945923,glioma_mibitof:Brainiaqc_R6C3_whole_cell.tiff,17340,1156,,,,,,,
