,best_fit_type,entropy_AIC_weights,observed_half_life,observed_effect_strength,included samples,affected samples,scaled_relative_likelihood_over_baseline,piecewise_linear_b,piecewise_linear_m,piecewise_linear_c,dataset,num_edges,num_nodes,exponential_saturation_a,exponential_saturation_b,exponential_saturation_c,michaelis_menten_a,michaelis_menten_b,michaelis_menten_c,constant_c
degree,Piecewise Linear Fit,0.9996781808740097,0.07578740156963974,-0.12142002050584275,1.0,0.5352112676056338,1.290525323218203,0.15157480313960828,46.094599828794664,25.277729781139026,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,2130,142,,,,,,,
pagerank,Piecewise Linear Fit,0.999752687941784,0.07480314859520075,-0.0821997811076922,1.0,0.5140845070422535,1.2200263489793781,0.1496062991803939,0.007517933056976072,0.006279077319431055,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,2130,142,,,,,,,
betweenness,Piecewise Linear Fit,0.9999973988000063,0.12403560578591269,-0.5601749107935867,1.0,0.7535211267605634,1.0993656632330235,0.2480712119368866,0.06795330691245226,0.006617795025206093,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,2130,142,,,,,,,
closeness,Piecewise Linear Fit,0.9999996575732752,0.2066511131727314,-0.12742001106153045,1.0,0.9577464788732394,1.5835925456946274,0.41330222655148846,0.20060758422167768,0.2838917080545103,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,2130,142,,,,,,,
clustering,Michaelis-Menten Fit,0.9999967343041591,0.07747907681384948,0.1492850693897789,1.0,1.0,1.3971960404391914,,,,glioma_mibitof:CHOP_907_R10C7_whole_cell.tiff,2130,142,,,,-0.2669114702764996,0.11793485607585052,0.8147184281110889,
degree,Exponential Saturation Fit,0.999870507925193,0.009217476256112618,-0.11502233786678845,1.0,0.17723718505647262,1.0396899280091574,,,,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,17265,1151,6.289441934354435,75.19923689354573,24.19536814502186,,,,
pagerank,Piecewise Linear Fit,0.9999953312525446,0.016784537603043968,-0.0739056727868194,1.0,0.1529105125977411,1.039653946889943,0.03356907613663849,0.0036074423947563884,0.0007587281872371126,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,17265,1151,,,,,,,
betweenness,Piecewise Linear Fit,0.999999687917961,0.13960104316748292,-0.7891537585914298,1.0,0.7801911381407471,1.0522831003593123,0.2792020870408481,0.03955363379938001,0.0014752963658019853,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,17265,1151,,,,,,,
closeness,Piecewise Linear Fit,0.9999986001237942,0.19683888921217743,-0.20141208998913515,1.0,0.9530842745438749,2.7076868606494076,0.39367777876884463,0.1142785697699794,0.08918932911502277,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,17265,1151,,,,,,,
clustering,Piecewise Linear Fit,0.9999945165635894,0.021795807783421262,0.08493889558285492,1.0,0.1902693310165074,1.0495556929947065,0.043591615565332906,-2.887478442996337,0.8038784549839523,glioma_mibitof:Brainiaqc_R9C3_whole_cell.tiff,17265,1151,,,,,,,
degree,Michaelis-Menten Fit,0.9999997387590057,0.011621958668940518,-0.12069923447559633,1.0,0.7810650887573964,1.067905701637553,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,2535,169,,,,6.970861119364963,0.012317612224075318,24.65371272119027,
pagerank,Michaelis-Menten Fit,0.9999997436523731,0.010457710570971158,-0.09431021147067234,1.0,0.727810650887574,1.0618909451663305,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,2535,169,,,,0.0010847180547117977,0.011017613638258178,0.005072645889383818,
betweenness,Michaelis-Menten Fit,0.9999942761200619,0.20578354681723016,-0.7173946658827312,1.0,1.0,1.0462226635820149,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,2535,169,,,,3466.1463299480774,40671.82610415756,0.00690850188993495,
closeness,Michaelis-Menten Fit,0.9999999999137672,0.2029609123737961,-0.15351373678196417,1.0,1.0,1.6996694145776294,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,2535,169,,,,3.081523921903562,14.791439691493503,0.229996650736412,
clustering,Michaelis-Menten Fit,0.999977838436539,0.02332256719434347,0.15928376221949064,1.0,1.0,1.2117839713746537,,,,glioma_mibitof:Brainiaqc_R6C5_whole_cell.tiff,2535,169,,,,-0.26998961175640857,0.02630369244073735,0.9234855656250791,
degree,Piecewise Linear Fit,0.9999570915763206,0.01923757884424861,-0.09031028788551092,1.0,0.21072319201995013,1.1175898509902185,0.03847515768852638,132.13454644150607,25.604886059850788,glioma_mibitof:CHOP_907_R11C9_whole_cell.tiff,12030,802,,,,,,,
