,data_source,#nodes in ROI,node density in ROI,% new edges,P_MWU,P_fisher,border_size,k,img_size,P_MWU_adj,P_fisher_adj
glioma_mibitof:CHOP_941_R6C4_whole_cell.tiff,glioma_mibitof,231,0.00022511701699487298,8.528138528138527,1.633774719509564e-95,5.178326425316379e-70,0.125,10,"(1019, 1007)",2.078321160500354e-95,6.94371551149122e-70
glioma_mibitof:CHOP_941_R6C5_whole_cell.tiff,glioma_mibitof,529,0.0005084582852748942,6.578449905482042,2.3228164296794287e-193,1.9715441557003198e-118,0.125,10,"(1020, 1020)",4.073080129078526e-193,3.27507042460218e-118
glioma_mibitof:CHOP_941_R6C6_whole_cell.tiff,glioma_mibitof,541,0.0005199923106497501,7.060998151571164,2.1626978684889085e-203,9.237847958399129e-142,0.125,10,"(1020, 1020)",3.940551600519756e-203,1.7285679553073986e-141
glioma_mibitof:CHOP_941_R6C7_whole_cell.tiff,glioma_mibitof,814,0.0007823921399386197,5.245700245700246,3.033502757017937e-216,1.5815814984028973e-170,0.125,10,"(1021, 1019)",5.7871894380983616e-216,3.378439821827803e-170
glioma_mibitof:CHOP_941_R7C2_whole_cell.tiff,glioma_mibitof,86,8.282291305520244e-05,16.97674418604651,6.3263117745027315e-71,3.8695586927425e-52,0.125,10,"(1020, 1018)",7.255626761576215e-71,4.727946712611434e-52
glioma_mibitof:CHOP_941_R7C3_whole_cell.tiff,glioma_mibitof,310,0.00029825645051733063,8.935483870967742,2.2847541916427063e-129,3.4926649388112213e-99,0.125,10,"(1022, 1017)",3.2611002470293284e-129,5.339007637742263e-99
glioma_mibitof:CHOP_941_R7C4_whole_cell.tiff,glioma_mibitof,242,0.000232375026406253,8.099173553719009,2.6246497262303047e-100,5.10712163664699e-69,0.125,10,"(1021, 1020)",3.391303721562781e-100,6.816043107371175e-69
glioma_mibitof:CHOP_941_R7C5_whole_cell.tiff,glioma_mibitof,433,0.00041537122964273277,8.498845265588914,2.531626450797711e-160,1.8387960481914317e-87,0.125,10,"(1021, 1021)",4.039994586531043e-160,2.6709581667450426e-87
glioma_mibitof:CHOP_941_R7C6_whole_cell.tiff,glioma_mibitof,442,0.0004248370096472603,7.714932126696833,3.897203731706255e-179,3.422398285416969e-137,0.125,10,"(1021, 1019)",6.593156692371958e-179,6.254037358313162e-137
glioma_mibitof:CHOP_941_R7C7_whole_cell.tiff,glioma_mibitof,957,0.0009189376044247278,5.4858934169279,2.8116214539481003e-266,4.991999216023005e-184,0.125,10,"(1021, 1020)",6.409265547941546e-266,1.1446412299295038e-183
glioma_mibitof:CHOP_941_R8C2_whole_cell.tiff,glioma_mibitof,1480,0.0014239258019203755,4.52027027027027,0.0,9.298431808156507e-300,0.125,10,"(1020, 1019)",0.0,3.727728181883539e-299
glioma_mibitof:CHOP_941_R8C3_whole_cell.tiff,glioma_mibitof,317,0.00030379640082724623,9.053627760252365,1.6665221631128293e-128,1.4215687264053619e-71,0.125,10,"(1022, 1021)",2.3732552281811974e-128,1.922719416441726e-71
glioma_mibitof:CHOP_941_R8C4_whole_cell.tiff,glioma_mibitof,592,0.0005690119184928873,7.466216216216217,3.900370842211085e-211,9.40727825462182e-140,0.125,10,"(1020, 1020)",7.293927030074981e-211,1.7456286386918566e-139
glioma_mibitof:CHOP_941_R8C5_whole_cell.tiff,glioma_mibitof,271,0.00026098848183674257,10.33210332103321,1.8567181648205593e-142,2.5025579791017583e-79,0.125,10,"(1020, 1018)",2.7810699418391398e-142,3.517321588089465e-79
glioma_mibitof:CHOP_941_R8C6_whole_cell.tiff,glioma_mibitof,674,0.00064719325536287,5.103857566765579,9.47750766354641e-161,4.964660696692226e-102,0.125,10,"(1021, 1020)",1.5170813138521495e-160,7.683169155485542e-102
glioma_mibitof:CHOP_941_R8C7_whole_cell.tiff,glioma_mibitof,215,0.0002070572826380061,8.325581395348838,2.656721541979484e-86,3.567634551049589e-55,0.125,10,"(1020, 1018)",3.2422592323571425e-86,4.4389333477800265e-55
glioma_mibitof:CHOP_941_R98C2_whole_cell.tiff,glioma_mibitof,1504,0.00036016274375043404,3.3710106382978724,6.588942280630567e-238,7.10237967121539e-156,0.125,10,"(2045, 2042)",1.3627328968482954e-237,1.4100910180041743e-155
glioma_mibitof:CHOP_941_R98C3_whole_cell.tiff,glioma_mibitof,6186,0.001482811041548912,2.1823472356935016,0.0,0.0,0.125,10,"(2043, 2042)",0.0,0.0
glioma_mibitof:CHOP_941_R99C1_whole_cell.tiff,glioma_mibitof,5858,0.0014028140574516774,2.072379651758279,0.0,0.0,0.125,10,"(2044, 2043)",0.0,0.0
glioma_mibitof:CHOP_941_R99C2_whole_cell.tiff,glioma_mibitof,7166,0.0017168809213943584,2.0094892548144014,0.0,0.0,0.125,10,"(2044, 2042)",0.0,0.0
glioma_mibitof:CHOP_941_R99C3_whole_cell.tiff,glioma_mibitof,5171,0.0012407257489822979,2.5178882227808934,0.0,0.0,0.125,10,"(2042, 2041)",0.0,0.0
glioma_mibitof:CHOP_941_R9C2_whole_cell.tiff,glioma_mibitof,1332,0.0012802768166089965,4.722222222222222,0.0,1.2089812531070981e-297,0.125,10,"(1020, 1020)",0.0,4.779301839814516e-297
glioma_mibitof:CHOP_941_R9C3_whole_cell.tiff,glioma_mibitof,609,0.0005847784755430086,5.9934318555008215,1.4109084144533655e-195,4.67380109871342e-115,0.125,10,"(1021, 1020)",2.4964685429676264e-195,7.63004748106744e-115
